Supplementary Table 2. GAS strains used in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Assembly statistics,,,,,,,Mapping statistics (subsampled),,,,
NS80,5364_8_5,Australia,Oceania ,D4,ST1063,13,1992,70,emm70.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995375,16,1801575,210530,261,,ERS013671,1776314,76,33,30.7,73
NS803,5364_8_6,Australia,Oceania ,D5,ST216,79,1996,97,emm97.1,Blood,iGAS,1,This study,,GCA_900995365,22,1797891,189917,255,,ERS013672,1776314,76,33,30.6,73
NS83,5364_8_7,Australia,Oceania ,E4,ST288,52,1992,232,emm232.1,Invasive,iGAS,1,This study,,GCA_900995345,25,1747922,163690,256,,ERS013673,1776314,76,33,30.7,73
NS931,5364_8_8,Australia,Oceania ,E6,ST1015,59,1996,65,emm65.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995485,14,1719844,225001,253,,ERS013674,1776314,76,33,30.8,73
NS3,5364_8_9,Australia,Oceania ,D4,ST1076,56,1990,98,emm98.0,Invasive,iGAS,1,This study,,GCA_900995425,18,1714753,203757,252,,ERS013675,1776314,76,33,30.8,73
NS101,5386_1_1,Australia,Oceania ,E2,ST628,85,1992,110,emm110.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995455,18,1780310,239140,258,,ERS013655,1776314,76,33,32.7,73
NS236,5386_1_10,Australia,Oceania ,E4,ST63,46,1994,77,emm77.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995495,12,1894518,203758,266,,ERS013664,1776314,76,33,32.7,73
NS240,5386_1_11,Australia,Oceania ,E3,ST166,175,1995,183,emm183.X,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995415,15,1720783,196089,260,,ERS013665,1776314,76,33,32.6,73
NS50.1,5386_1_12,Australia,Oceania ,D4,ST304,8,1991,108,emm108.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995435,19,1802953,206934,238,,ERS013666,1776314,76,33,32.6,73
NS1033,5386_1_2,Australia,Oceania ,D4,ST205,56,1997,230,emm230.0,Skin,ND,0,This study,,GCA_900995445,14,1791693,239780,256,,ERS013656,1776314,76,33,32.7,73
NS1122,5386_1_3,Australia,Oceania ,E6,ST297,100,1997,63,emm63.3,Throat,Pharyngitis,0,This study,,GCA_900995465,23,1859016,196484,258,,ERS013657,1776314,76,33,32.7,73
NS1210,5386_1_4,Australia,Oceania ,E6,ST632,229,1997,75,emm75.0,Blood,iGAS,1,This study,,GCA_900995475,10,1735571,356595,270,,ERS013658,1776314,76,33,32.7,73
NS13,5386_1_5,Australia,Oceania ,D4,ST299,146,1991,53,emm53.0,Blood,iGAS,1,This study,,GCA_900995405,22,1826122,155356,261,,ERS013659,1776314,76,33,32.7,73
NS192,5386_1_6,Australia,Oceania ,E2,ST338,78,1994,106,emm106.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995505,16,1687465,212306,251,,ERS013660,1776314,76,33,32.6,73
NS195,5386_1_7,Australia,Oceania ,M19,ST370,99,1994,19,emm19.X,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995555,31,1808060,78561,255,,ERS013661,1776314,76,33,32.8,73
NS20,5386_1_8,Australia,Oceania ,E6,ST607,72,1991,75,emm75.1,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995545,12,1855212,288839,250,,ERS013662,1776314,76,33,32.7,73
NS216,5386_1_9,Australia,Oceania ,A-C4,ST614,230,1994,229,emm229.0,Invasive,iGAS,1,This study,,GCA_900995565,18,1738314,163048,277,,ERS013663,1776314,76,33,32.6,73
NS1,5731_5_1,Australia,Oceania ,D2,ST119,34,1990,100,emm100.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995575,21,1790029,135230,297,,ERS017769,1776314,76,33,32.4,73
NS1132,5731_5_10,Australia,Oceania ,E3,ST192,53,1997,25,emm25.1,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995535,21,1846639,348606,304,,ERS017772,1776314,76,33,32.4,73
NS1133,5731_5_11,Australia,Oceania ,D4,ST182,18,1997,101,emm101.0,Invasive,iGAS,1,This study,,GCA_900995585,15,1753944,267934,306,,ERS017780,1776314,76,33,32.2,73
NS1140,5731_5_12,Australia,Oceania ,M57,ST348,73,1997,57,emm57.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995615,18,1778410,239623,302,,ERS017781,1776314,76,33,32.5,73
NS10,5731_5_2,Australia,Oceania ,D4,ST299,146,1990,53,emm53.0,Throat,APSGN,0,This study,,GCA_900995595,23,1827124,155355,298,,ERS017771,1776314,76,33,32.4,73
NS1036,5731_5_3,Australia,Oceania ,E2,ST179,85,1997,110,emm110.0,Skin,ND,0,This study,,GCA_900995625,24,1778117,108324,286,,ERS017773,1776314,76,33,32.4,73
NS1045,5731_5_4,Australia,Oceania ,E1,ST193,80,1997,60,emm60.7,Skin,ND,0,This study,,GCA_900995605,28,1834886,109862,291,,ERS017774,1776314,76,33,32.5,73
NS1053,5731_5_5,Australia,Oceania ,E1,ST193,80,1997,60,emm60.4,Blood,iGAS,1,This study,,GCA_900995645,19,1801394,199146,296,,ERS017775,1776314,76,33,32.4,73
NS1096,5731_5_6,Australia,Oceania ,E3,ST191,17,1997,25,emm25.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995635,16,1835779,239747,275,,ERS017776,1776314,76,33,32.3,73
NS1107,5731_5_7,Australia,Oceania ,E2,ST631,147,1997,76,emm76.4,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995675,28,1777872,124769,287,,ERS017777,1776314,76,33,32.3,73
NS1017,5731_5_8,Australia,Oceania ,E2,ST184,35,1997,90,emm90.5,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995665,11,1753172,274775,294,,ERS017778,1776314,76,33,32.6,73
NS1120,5731_5_9,Australia,Oceania ,E4,ST1016,46,1997,77,emm77.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995655,13,1935870,203762,300,,ERS017770,1776314,76,33,32.4,73
NS196,5731_6_10,Australia,Oceania ,E3,ST176,16,1994,58,emm58.0,Throat,Rheumatic fever,0,This study,,GCA_900995685,18,1864783,262045,290,,ERS017792,1776314,76,33,32,73
NS204,5731_6_11,Australia,Oceania ,E4,ST55,45,1994,2,emm2.0,Blood,iGAS,1,This study,,GCA_900995695,25,1941235,169818,304,,ERS017793,1776314,76,33,31.6,73
NS210,5731_6_12,Australia,Oceania ,E4,ST202,103,1994,22,emm22.0,Invasive,iGAS,1,This study,,GCA_900995715,22,1767698,210084,297,,ERS017794,1776314,76,33,31.7,73
NS1216,5731_6_2,Australia,Oceania ,E4,ST633,231,1997,109,emm109.1,Blood,iGAS,1,This study,,GCA_900995705,27,1847903,125591,287,,ERS017783,1776314,76,33,31.8,73
NS125,5731_6_3,Australia,Oceania ,M95,ST604,101,1993,95,emm95.0,Invasive,iGAS,1,This study,,GCA_900995725,22,1745728,217331,298,,ERS017784,1776314,76,33,31.5,73
NS14,5731_6_5,Australia,Oceania ,E4,ST185,232,1991,102,emm102.2,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995745,32,1841484,150803,295,,ERS017779,1776314,76,33,31.5,73
NS176,5731_6_6,Australia,Oceania ,D1,ST332,120,1994,207,emm207.1,Skin,ND,0,This study,,GCA_900995735,17,1756596,247375,281,,ERS017787,1776314,76,33,31.6,73
NS178,5731_6_7,Australia,Oceania ,D1,ST302,8,1994,54,emm54.1,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995765,12,1707571,241009,277,,ERS017789,1776314,76,33,31.6,73
NS179,5731_6_8,Australia,Oceania ,E3,ST204,31,1994,9,emm9.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995755,22,1791309,150083,286,,ERS017790,1776314,76,33,31.8,73
NS190,5731_6_9,Australia,Oceania ,E2,ST312,33,1994,92,emm92.0,Blood,iGAS,1,This study,,GCA_900995775,17,1737674,210234,289,,ERS017791,1776314,76,33,31.7,73
NS223,5731_7_1,Australia,Oceania ,D4,ST12,8,1994,91,emm91.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995795,20,1744389,187454,292,,ERS017786,1776314,76,33,31.5,73
NS282,5731_7_10,Australia,Oceania ,D1,ST332,120,1995,207,emm207.1,Skin,Superficial soft tissue infection,0,This study,,GCA_900995785,16,1755962,286817,281,,ERS017796,1776314,76,33,31.6,73
NS297,5731_7_11,Australia,Oceania ,E6,ST547,5,1995,11,emm11.0,Skin,ND,0,This study,,GCA_900995805,20,1815047,243687,276,,ERS017798,1776314,76,33,31.2,73
NS32,5731_7_12,Australia,Oceania ,D4,ST182,18,1991,101,emm101.0,Blood,iGAS,1,This study,,GCA_900995835,13,1758778,189102,278,,ERS017807,1776314,76,33,31.7,73
NS225,5731_7_2,Australia,Oceania ,E6,ST141,60,1994,99,emm99.0,Blood,iGAS,1,This study,,GCA_900995815,11,1741713,219278,284,,ERS017788,1776314,76,33,31.6,73
NS226,5731_7_3,Australia,Oceania ,E1,ST1082,148,1994,4,emm4.5,Blood,iGAS,1,This study,,GCA_900995825,14,1770603,262605,282,,ERS017797,1776314,76,33,31.3,73
NS235,5731_7_4,Australia,Oceania ,M24,ST582,176,1994,24,emm24.1,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995845,22,1692413,173654,285,,ERS017799,1776314,76,33,31.5,73
NS239,5731_7_5,Australia,Oceania ,D1,ST610,54,1995,207,emm207.1,Invasive,iGAS,1,This study,,GCA_900995865,22,1728801,148865,294,,ERS017800,1776314,76,33,31.5,73
NS244,5731_7_6,Australia,Oceania ,E1,ST1017,148,1995,4,emm4.5,Skin,ND,0,This study,,GCA_900995855,22,1795607,162891,273,,ERS017801,1776314,76,33,31.6,73
NS25,5731_7_7,Australia,Oceania ,M55,ST1018,44,1991,55,emm55.0,Blood,iGAS,1,This study,,GCA_900995875,22,1885811,142765,283,,ERS017802,1776314,76,33,31.3,73
NS253,5731_7_8,Australia,Oceania ,D4,ST180,84,1995,52,emm52.1,Blood,iGAS,1,This study,,GCA_900995905,14,1714958,239161,287,,ERS017803,1776314,76,33,31.7,73
NS265,5731_7_9,Australia,Oceania ,D4,ST115,21,1995,56,emm56.0,Skin,ND,0,This study,,GCA_900995895,19,1741104,230262,290,,ERS017795,1776314,76,33,31.4,73
NS488,5749_2_1,Australia,Oceania ,A-C4,ST1019,0,1995,12,emm12.0,Blood,iGAS,1,This study,,GCA_900995885,22,1794113,156826,226,,ERS017813,1776314,76,33,33.9,73
NS578,5749_2_10,Australia,Oceania ,E4,ST110,52,1995,232,emm232.0,ND,ND,0,This study,,GCA_900995915,23,1786101,184004,254,,ERS017823,1776314,76,33,33.9,73
NS581,5749_2_11,Australia,Oceania ,E6,ST80,89,1995,42,emm42.1,Blood,iGAS,1,This study,,GCA_900995925,10,1731014,243599,251,,ERS017824,1776314,76,33,33.7,73
NS59,5749_2_12,Australia,Oceania ,D4,ST299,146,1992,53,emm53.0,Skin,ND,0,This study,,GCA_900995935,22,1826125,155310,245,,ERS017825,1776314,76,33,33.9,73
NS495,5749_2_2,Australia,Oceania ,E2,ST184,35,1995,90,emm90.5,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995945,9,1750811,275157,237,,ERS017814,1776314,76,33,33.9,73
NS50,5749_2_3,Australia,Oceania ,M218,ST292,41,1991,218,emm218.1,Blood,iGAS,1,This study,,GCA_900995955,11,1725550,239162,246,,ERS017815,1776314,76,33,33.8,73
NS506,5749_2_5,Australia,Oceania ,M14,ST118,121,1995,14,emm14.4,Blood,iGAS,1,This study,,GCA_900995965,16,1721263,202030,264,,ERS017818,1776314,76,33,33.8,73
NS516,5749_2_6,Australia,Oceania ,E2,ST596,85,1995,110,emm110.0,Skin,ND,0,This study,,GCA_900996005,17,1768245,199880,250,,ERS017827,1776314,76,33,33.8,73
NS534,5749_2_7,Australia,Oceania ,E4,ST110,52,1995,232,emm232.0,Invasive,iGAS,1,This study,,GCA_900995985,17,1746570,283864,248,,ERS017828,1776314,76,33,33.9,73
NS539,5749_2_8,Australia,Oceania ,E2,ST291,177,1995,76,emm76.6,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900996045,15,1776121,166783,253,,ERS017829,1776314,76,33,33.8,73
NS567,5749_2_9,Australia,Oceania ,A-C4,ST108,233,1995,193,emm193.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900996055,23,1766312,165847,244,,ERS017822,1776314,76,33,33.7,73
NS611,5749_3_1,Australia,Oceania ,E3,ST629,122,1995,15,emm15.1,Blood,iGAS,1,This study,,GCA_900996035,17,1705575,162873,232,,ERS017826,1776314,76,33,34,73
NS733,5749_3_10,Australia,Oceania ,E2,ST184,35,1996,90,emm90.5,Blood,iGAS,1,This study,,GCA_900996025,9,1750873,274795,260,,ERS017842,1776314,76,33,34.1,73
NS736,5749_3_11,Australia,Oceania ,M221,ST113,149,1996,221,emm221.0,Skin,ND,0,This study,,GCA_900995995,20,1805505,214750,241,,ERS017843,1776314,76,33,33.9,73
NS755,5749_3_12,Australia,Oceania ,E2,ST184,35,1996,90,emm90.5,Blood,iGAS,1,This study,,GCA_900996015,9,1750302,274826,248,,ERS017844,1776314,76,33,34,73
NS671,5749_3_2,Australia,Oceania ,E6,ST183,88,1995,81,emm81.3,Blood,iGAS,1,This study,,GCA_900995975,24,1793277,154229,247,,ERS017835,1776314,76,33,34,73
NS672,5749_3_3,Australia,Oceania ,E4,ST52,10,1995,28,emm28.0,Blood,iGAS,1,This study,,GCA_900996075,14,1817156,240375,237,,ERS017836,1776314,76,33,33.9,73
NS684,5749_3_4,Australia,Oceania ,E6,ST290,234,1996,81,emm81.2,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900996085,16,1976050,275856,259,,ERS017837,1776314,76,33,34,73
NS687,5749_3_5,Australia,Oceania ,E3,ST176,16,1996,58,emm58.0,other,ND,0,This study,,GCA_900996065,17,1855824,292850,257,,ERS017830,1776314,76,33,34,73
NS691,5749_3_6,Australia,Oceania ,E6,ST111,59,1996,65,emm65.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900996095,17,1719670,416380,274,,ERS017831,1776314,76,33,33.9,73
NS702,5749_3_7,Australia,Oceania ,E6,ST111,59,1996,65,emm65.0,Throat,Rheumatic fever,0,This study,,GCA_900996105,16,1715591,200972,257,,ERS017832,1776314,76,33,33.9,73
NS718,5749_3_8,Australia,Oceania ,E2,ST312,33,1996,92,emm92.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900996115,19,1737397,162953,254,,ERS017833,1776314,76,33,34,73
NS731,5749_3_9,Australia,Oceania ,E2,ST184,35,1996,90,emm90.5,Blood,iGAS,1,This study,,GCA_900996125,7,1750643,245044,255,,ERS017834,1776314,76,33,34,73
NS5530,5749_5_10,Australia,Oceania ,E4,ST288,52,1993,232,emm232.1,Skin,ND,0,This study,,GCA_900996135,24,1747062,147615,255,,ERS017846,1776314,76,33,33.7,73
NS804,5749_5_2,Australia,Oceania ,D5,ST216,79,1996,97,emm97.1,Blood,iGAS,1,This study,,GCA_900996145,12,1758600,221123,254,,ERS017839,1776314,76,33,33.6,73
NS833,5749_5_3,Australia,Oceania ,M221,ST113,149,1996,221,emm221.0,Skin,ND,0,This study,,GCA_900996155,19,1807167,239717,246,,ERS017840,1776314,76,33,33.6,73
NS836,5749_5_4,Australia,Oceania ,M221,ST113,149,1996,221,emm221.0,Skin,ND,0,This study,,GCA_900996165,21,1806210,193566,262,,ERS017841,1776314,76,33,33.6,73
NS88.2,5749_5_5,Australia,Oceania ,D4,ST205,56,1992,98,emm98.1,Blood,iGAS,1,This study,,GCA_900990815,14,1753865,170517,261,,ERS017847,1776314,76,33,33.6,73
NS930,5749_5_7,Australia,Oceania ,E6,ST111,59,1996,65,emm65.0,Throat,Pharyngitis,0,This study,,GCA_900990825,14,1719696,239671,243,,ERS017849,1776314,76,33,33.8,73
NS5341,5749_5_8,Australia,Oceania ,E6,ST109,63,1991,85,emm85.0,Blood,iGAS,1,This study,,GCA_900990845,20,1789388,162945,254,,ERS017850,1776314,76,33,33.7,73
NS5347,5749_5_9,Australia,Oceania ,E1,ST289,90,1991,4,emm4.5,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900990835,22,1841309,147990,258,,ERS017845,1776314,76,33,33.6,73
NS35,5817_5_1,Australia,Oceania ,E3,ST176,16,1991,58,emm58.0,Invasive,iGAS,1,This study,,GCA_900990855,10,1817476,295754,272,,ERS017809,1776314,76,33,32.8,73
NS473,5817_5_10,Australia,Oceania ,E4,ST110,52,1995,232,emm232.0,Invasive,iGAS,1,This study,,GCA_900990865,24,1789136,184010,293,,ERS017819,1776314,76,33,32.8,73
NS474,5817_5_11,Australia,Oceania ,E3,ST176,16,1995,58,emm58.0,Blood,iGAS,1,This study,,GCA_900990875,17,1861768,246284,287,,ERS017820,1776314,76,33,32.7,73
NS476,5817_5_12,Australia,Oceania ,D4,ST1084,13,1995,80,emm80.X,Invasive,iGAS,1,This study,,GCA_900990885,10,1723842,239596,273,,ERS017821,1776314,76,33,32.8,73
NS351,5817_5_2,Australia,Oceania ,E3,ST176,16,1995,58,emm58.0,Skin,ND,0,This study,,GCA_900990905,16,1865754,221155,281,,ERS017810,1776314,76,33,32.8,73
NS365,5817_5_3,Australia,Oceania ,E3,ST176,16,1995,58,emm58.0,Blood,iGAS,1,This study,,GCA_900990895,18,1861869,185202,270,,ERS017811,1776314,76,33,32.7,73
NS414,5817_5_4,Australia,Oceania ,E6,ST547,5,1995,11,emm11.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900990925,20,1805022,214176,279,,ERS017812,1776314,76,33,32.7,73
NS415,5817_5_5,Australia,Oceania ,E1,ST177,148,1995,4,emm4.5,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900990915,20,1766300,249761,282,,ERS017804,1776314,76,33,32.6,73
NS43,5817_5_6,Australia,Oceania ,E3,ST600,235,1991,25,emm25.0,Throat,Pharyngitis,0,This study,,GCA_900990935,32,1833810,146555,242,,ERS017805,1776314,76,33,32.7,73
NS436,5817_5_7,Australia,Oceania ,E6,ST547,5,1995,11,emm11.0,Skin,ND,0,This study,,GCA_900990945,21,1805560,225414,261,,ERS017806,1776314,76,33,32.6,73
NS452,5817_5_8,Australia,Oceania ,E3,ST191,17,1995,25,emm25.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900990955,13,1796292,331933,292,,ERS017808,1776314,76,33,32.6,73
NS455,5817_5_9,Australia,Oceania ,D4,ST180,84,1995,52,emm52.1,Blood,iGAS,1,This study,,GCA_900990965,10,1714849,272424,285,,ERS017817,1776314,76,33,32.7,73
NS6,7368_6_49,Australia,Oceania ,D3,ST325,54,1990,123,emm123.0,Blood,iGAS,1,This study,,GCA_900991075,16,1729376,177479,233,,ERS076234,1800000,75,33,39.2,73
NS8,7368_6_50,Australia,Oceania ,E6,ST109,63,1990,85,emm85.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900991065,16,1784198,176123,225,,ERS076235,1800000,75,33,39.4,73
NS16,7368_6_51,Australia,Oceania ,E4,ST166,236,1991,77,emm77.0,ND,ND,0,This study,,GCA_900991085,12,1840695,282986,235,,ERS076236,1800000,75,33,39.3,73
NS205,7368_6_52,Australia,Oceania ,D4,ST115,21,1994,56,emm56.1,Blood,iGAS,1,This study,,GCA_900991105,17,1773838,240285,224,,ERS076237,1800000,75,33,39.2,73
NS232,7368_6_53,Australia,Oceania ,E3,ST190,15,1994,49,emm49.3,Throat,Pharyngitis,0,This study,,GCA_900991095,27,1835988,100332,228,,ERS076238,1800000,75,33,39.2,73
